"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value","Flag and Footnotes"
"2013M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","40,210",""
"2013M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","34,900",""
"2013M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","29,285",""
"2014M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","35,775",""
"2014M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","31,020",""
"2014M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","32,925",""
"2014M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","34,820",""
"2014M05","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","38,885",""
"2014M06","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","41,420",""
"2014M07","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","51,480",""
"2014M08","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","50,180",""
"2014M09","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","61,755",""
"2014M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","62,945",""
"2014M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","58,690",""
"2014M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","62,780",""
"2015M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","61,390",""
"2015M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","66,070",""
"2015M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","62,095",""
"2015M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","59,180",""
"2015M05","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","68,180",""
"2015M06","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","90,255",""
"2015M07","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","116,345",""
"2015M08","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","141,370",""
"2015M09","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","165,410",""
"2015M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","167,190",""
"2015M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","154,695",""
"2015M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","104,440",""
"2016M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","97,260",""
"2016M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","109,645",""
"2016M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","101,315",""
"2016M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","105,465",""
"2016M05","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","99,175",""
"2016M06","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","119,055",""
"2016M07","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","114,545",""
"2016M08","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","133,285",""
"2016M09","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","118,900",""
"2016M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","78,160",""
"2016M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","70,285",""
"2016M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","58,945",""
"2017M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","57,700",""
"2017M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","55,095",""
"2017M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","61,615",""
"2017M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","46,320",""
"2017M05","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","53,790",""
"2017M06","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","53,015",""
"2017M07","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","55,525",""
"2017M08","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","57,930",""
"2017M09","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","55,805",""
"2017M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","55,975",""
"2017M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","54,775",""
"2017M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","43,430",""
"2018M01","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","51,375",""
"2018M02","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","44,550",""
"2018M03","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","45,840",""
"2018M04","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","45,390",""
"2018M05","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","48,520",""
"2018M06","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","47,535",""
"2018M07","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","51,330",""
"2018M08","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","47,825",""
"2018M09","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","47,790",""
"2018M10","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","55,930",""
"2018M11","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","51,805",""
"2018M12","European Union - 28 countries","Extra-EU28","Total","Total","First time applicant","Person","42,955",""
